CO2_scenhouroffshore_f  offshore_g  onshore     PV          river       lake        nuclear     PHS         battery     OCGT        CCGT        CCGT-CCS    methanizatiopyrogaseificngas        gastank     methanation electrolysisITES        CTES       ****
"13",0.00,11.89,40.38,24.59,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.01,0.00,11.45,0.00,0.00,4.65,0.00,0.00,14.77,39.51,33.41,0.00,8.14,39.51,0.00,0.00,0.00,3.54,6.50,11.18,0.74,33.93,-0.32,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.81,-16.41-1****
"14",0.00,12.07,40.58,17.04,3.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.01,0.00,10.86,0.00,0.00,4.65,0.00,0.00,11.69,39.51,33.41,0.00,7.60,39.51,0.00,0.00,0.00,3.54,6.50,11.18,0.74,30.34,0.00,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.81,-12.98,-1****
"15",0.00,12.62,44.69,6.94,3.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.01,0.00,6.29,0.00,0.00,4.65,0.00,0.00,10.03,39.51,33.41,0.00,3.50,39.51,0.00,0.00,0.00,3.54,6.50,11.18,0.74,26.58,0.00,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.81,-11.15,-11.****
"16",0.00,13.32,50.60,0.33,3.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.01,0.00,2.41,0.00,0.00,4.65,0.00,0.00,10.02,39.51,33.41,0.00,0.00,39.51,0.00,0.00,0.00,3.54,6.50,11.18,0.74,23.13,-3.44,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.81,-11.13,-11****
"17",0.00,13.73,53.06,0.00,3.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.01,0.00,2.41,0.00,0.00,4.65,0.00,0.00,10.98,39.51,33.41,0.00,0.00,39.51,0.00,0.00,0.00,3.54,6.50,11.18,0.74,23.88,-4.25,0.00,4.65,0.00,0.00,-0.49,0.00,0.00,0.00,0.00,-5.81,-12.20,-1****
"18",0.00,13.84,52.78,0.00,3.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.01,0.00,4.06,0.00,0.00,4.65,0.00,0.00,13.55,39.51,33.41,0.00,1.49,39.51,0.00,0.00,0.00,3.54,6.50,11.18,0.74,25.35,0.00,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.81,-15.05,-11.****
"19",0.00,13.79,51.40,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.01,0.00,14.38,0.00,0.00,4.65,0.00,0.00,10.43,39.51,33.41,0.00,10.78,39.51,0.00,0.00,0.00,3.54,6.50,11.18,0.74,27.76,0.00,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.81,-11.59,-1****
"20",0.00,13.66,49.69,0.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.01,0.00,16.20,0.00,0.00,4.65,0.36,0.35,6.74,39.51,33.41,0.00,12.42,39.85,0.00,0.00,0.00,3.54,6.50,11.18,0.74,29.98,0.00,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.81,-7.49,-11.****
"21",0.00,13.41,48.14,0.00,4.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.01,0.00,14.32,0.00,0.00,4.65,0.00,0.00,6.56,39.51,33.41,0.00,10.72,39.51,0.00,0.00,0.00,3.54,6.50,11.18,0.74,28.13,0.00,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.81,-7.29,-11.****
"22",0.00,13.03,46.59,0.00,3.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.01,0.00,15.32,0.00,0.00,4.65,0.00,0.00,3.05,39.51,33.41,0.00,11.62,39.51,0.00,0.00,0.00,3.54,6.50,11.18,0.74,29.87,0.00,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.81,-3.39,-11.****
